id_report_source,category,latitude,longitude
1053562,Kaki Lima Liar,-6.189743,106.815369
1054110,Kaki Lima Liar,-6.185351,106.811127
1054115,Parkir Liar,-6.184837,106.811302
1054222,Kemacetan,-6.184548,106.811246
1054413,Kemacetan,-6.188714,106.811646
1054462,Kemacetan,-6.188469,106.812477
1054463,Kaki Lima Liar,-6.188663,106.81292
1054469,Kemacetan,-6.188524,106.813576
1054475,Parkir Liar,-6.18809,106.815285
1054476,Kaki Lima Liar,-6.188134,106.815315
1054777,Parkir Liar,-6.180053,106.812973
1054779,Parkir Liar,-6.179669,106.812874
1055506,Parkir Liar,-6.181674,106.815071
1055747,Kemacetan,-6.187293,106.811874
1055816,Kaki Lima Liar,-6.191567,106.815071
1055818,Kaki Lima Liar,-6.18678,106.815071
1056414,Kemacetan,-6.188112,106.814873
1056415,Parkir Liar,-6.187631,106.813499
1056876,Jalan Rusak,-6.189082,106.80426
1057258,Parkir Liar,-6.18639,106.815369
1058487,Jalan Rusak,-6.18563,106.809601
1058768,Kemacetan,-6.188598,106.812019
1058770,Kemacetan,-6.188642,106.81218
1058853,Jalan Rusak,-6.184131,106.815407
1059052,Kemacetan,-6.186465,106.811157
1059208,Jalan Rusak,-6.186594,106.812172
1059323,Parkir Liar,-6.188567,106.811371
1059324,Parkir Liar,-6.183617,106.811623
1060017,Parkir Liar,-6.183516,106.815659
1061389,Parkir Liar,-6.192726,106.805542
1061403,Kaki Lima Liar,-6.192715,106.805648
1061724,Kemacetan,-6.188627,106.812904
1061813,Parkir Liar,-6.190446,106.81028
1062632,Kaki Lima Liar,-6.184101,106.812424
1062897,Kaki Lima Liar,-6.188457,106.815132
1062904,Parkir Liar,-6.187579,106.815651
1062905,Kaki Lima Liar,-6.186963,106.815887
1063521,Kemacetan,-6.183245,106.815811
1063523,Kemacetan,-6.183872,106.815475
1064070,Jalan Rusak,-6.181462,106.815651
1064255,Parkir Liar,-6.188329,106.818565
1064257,Parkir Liar,-6.188377,106.818642
1064584,Parkir Liar,-6.188338,106.814171
1065044,Parkir Liar,-6.18425,106.814339
1065201,Parkir Liar,-6.192748,106.818024
1066049,Kaki Lima Liar,-6.189831,106.81514
1068712,Kemacetan,-6.185627,106.815186
1068875,Kaki Lima Liar,-6.18733,106.817139
1068943,Parkir Liar,-6.179496,106.814735
1069143,Kaki Lima Liar,-6.184793,106.811142
1069257,Parkir Liar,-6.188704,106.812065
1069266,Parkir Liar,-6.188561,106.81221
1069271,Parkir Liar,-6.188548,106.812836
1069277,Kaki Lima Liar,-6.188443,106.812691
1070180,Kemacetan,-6.186246,106.808502
1070198,Parkir Liar,-6.188628,106.812027
1070272,Parkir Liar,-6.179502,106.813416
1070300,Kemacetan,-6.182003,106.81414
1070641,Parkir Liar,-6.187335,106.816628
1070643,Parkir Liar,-6.187318,106.81601
1070644,Parkir Liar,-6.187063,106.815971
